lunch,enrol,math4,math7
14.01,14373,89,74
6.4,2315,58.3,33.9
8.2,2331,55.3,40.5
8,2430,66.8,39.3
10.86,2784,69.3,64.2
11.05,2849,73.3,55.7
13.23,2895,80,52
13.5,2953,89,67
35.3,562,69.2,50
35.1,519,70.4,77.8
40.7,514,63.2,72
42.71,386,84.2,94.4
36.39,382,57.9,80
31.21,369,69,60
37.96,330,81,82
61,786,27.5,29.1
55.9,820,41.7,15.9
58.9,843,54.3,32
60.48,842,75.4,34.8
59.05,871,72.1,59.7
54.39,887,84,42
53.46,925,91,52
28.7,460,35.1,51.4
31.1,450,55.6,53.1
34.6,483,48.7,56.5
33.39,506,63,59.2
35.06,524,64.3,70.7
34.68,527,50,47
32.37,519,97,73
22.6,1947,43.2,36.1
24.3,2031,39.4,30.1
29.2,2032,56.4,45.6
27.4,2054,65,48.9
34.01,2025,77.9,52.7
34.06,1934,67,54
33.74,1858,72,57
20.6,1701,41.2,47
20.7,1696,59.3,53.4
20.4,1692,53.8,56.3
22.08,1595,75.6,71
20.37,1513,81.8,68.2
9.4,1501,62,84
20.82,1411,86,88
30.3,3025,38.8,42.2
30.8,3005,39.6,39
32.7,2885,44.1,57.5
33.63,2324,60.5,45.6
37.19,1486,58.5,55.4
34.32,1371,53,58
38.74,1353,89,72
22.2,1690,34.7,38.7
20.3,1703,53.2,50.4
24.5,1755,57.8,44.1
24.79,1707,78,58.8
26.7,1665,64.7,63.5
23.91,1625,65,64
25.97,1618,84,66
61.5,129,33.3,10
52,116,28.6,21.4
46.7,113,42.9,50
55.32,83,45.5,27.3
50.53,86,42.9,28.6
43.75,89,38,25
57.65,79,75,55
35.7,213,33.3,50
35.4,226,52.9,23.5
45.3,220,10.5,33.3
33.94,223,50,37.5
36.49,228,100,50
30.6,233,44,21
38.46,234,93,65
54.7,64,100,
74,64,62.5,50
66.7,63,80,50
68.09,40,50,66.7
57.69,48,80,85.7
66,47,75,60
60.78,46,100,43
18.3,5018,56.2,55.3
19,5014,56.5,55.8
17.8,4838,53,68.5
20.09,4822,65.8,73.7
19.5,4740,75.2,73.9
20.23,4643,71,67
19.76,4498,89,79
26,1411,60.8,37.9
27.9,1440,59.6,45.3
31.5,1474,78.1,53.3
34.52,1386,81.4,71.8
25.63,1363,85.9,67.9
33,1300,92,82
31.74,1265,94,80
39.4,1833,30.9,40
38.7,1904,39.4,44.7
47,1879,49,46
45.47,1584,59.2,55
43.96,1657,54.7,49.5
40.33,1672,65,56
39.32,1709,74,71
44,636,27.1,36.5
49.7,626,52.6,43.6
49,623,46.3,39.5
43.31,627,55.8,48
51.23,652,52.9,51.9
47.41,673,60,37
51.98,667,77,65
44,212,5.9,46.7
42.7,212,25,36.8
48.5,207,53.3,42.9
52.48,200,36.4,17.6
47.06,173,54.5,61.5
52.51,179,10,50
49.42,171,50,50
27.9,2606,38.7,41.5
27.9,2692,43.5,48.2
29.9,2692,51.9,45.5
29.6,2747,68,56.9
28.2,2759,69.8,57
30.83,2771,62,50
31.01,2759,79,80
35,1894,44.4,35.4
35.9,1952,51.3,39.2
25.1,340,49.7,38.4
37.76,1983,61.9,49.5
37.29,463,64.6,56.2
38.56,2058,62,48
43.81,436,74,60
23.9,2213,60.7,53.3
26.9,2246,51.9,47.4
30,2224,66.7,46.8
34.54,2288,65,59.6
31.81,2341,72.3,68.8
29.64,2374,71,64
31.33,2403,78,74
35.9,2300,38,32
37.7,2491,54.9,37
36.9,2630,50,33.8
41.92,2598,62.9,37.4
42.78,2605,71.3,53.4
45.44,2650,71,37
60.54,2672,75,61
36.8,1470,36.4,17.1
34.2,1470,53.3,31.4
33.8,1497,53.1,39.7
31.42,1578,64.2,44.6
34.42,1573,71.4,54.2
38.58,1651,64,34
37.84,1646,66,54
37.3,1111,35.9,38.5
30.1,306,43.8,38.5
36.8,1129,45.4,36.6
29.5,334,62.3,48.5
32.68,1085,66,59.1
32.07,1096,78,48
31.68,1044,83,65
49.8,312,42.9,50
48.5,303,57.9,57.1
47,298,83.3,27.3
47.16,280,75,47.1
45.26,274,61.1,40.9
48.53,274,90,65
51.08,277,83,50
18.9,2336,44.9,38.3
18.9,2395,54.3,41.1
19.6,2439,40.6,38.9
18.67,2400,67.1,53.9
25.03,2385,79.1,65.2
22.32,2417,83,49
21.16,2292,88,69
50.2,699,23.1,26.2
52.9,688,28.6,31
47.5,673,23.5,40.5
50.33,614,42.1,41.2
51.11,583,49.1,53.8
49.18,618,73,31
49.47,597,64,62
30.3,1097,32.5,39.3
32.9,1119,34.4,24.7
33,1107,34.1,39.5
36.97,1078,57.4,41.7
34.76,1098,50.7,54.1
38.09,1076,65,50
39.59,1010,84,63
14.2,8530,47.4,50.4
15.2,8777,56.3,54
14.1,8948,64.3,62.4
14.45,9166,77.8,67.5
14.53,9396,77.1,72.3
13.95,9507,79,72
14.02,9580,90,83
24.1,2170,50.9,30.4
27.7,2163,50.8,28.1
32.9,2133,55.5,47.2
33.49,1876,79.3,51.3
33.83,1910,67.2,46.4
33.19,1964,74,42
33.15,2006,84,55
25.2,1149,45.9,27.6
27.3,1142,34.9,23
29.1,1137,44.9,20.9
28.58,1102,49.5,38.6
30.32,1073,54.7,42.7
30.58,1088,51,44
34.28,1079,49,38
25.3,1777,37.8,33.9
31.1,1736,31.1,30.8
31.4,1726,59.2,46.2
34.99,1619,72.6,61.6
32.88,1610,68.8,64.9
32.68,1658,74,62
35.23,1683,76,68
36.6,1307,27,27.5
44.7,1392,26.5,26.9
41.9,1405,24.8,28.5
47.46,1368,66,36.5
39.85,1348,61.8,58.4
39.4,1379,50,51
43.06,1366,76,84
32.3,803,31.7,20.3
31.1,829,35.2,24.6
35.9,1036,57.1,27.2
42.59,1065,56.3,33.7
39.85,1067,63,48.8
37.41,1077,45,56
37.3,1042,76,55
23.8,7323,25.8,25.2
26.1,7252,44.2,35.7
27.3,7325,48,40.1
30.35,7241,47.9,45.2
26.11,7143,56.6,61.7
27.85,7176,53,49
28.03,7028,65,51
18.9,2575,32.8,20.5
19.7,2602,36.2,34.5
19.3,2668,52.4,33
19.23,2670,60,41.6
19.67,2741,61.2,36.5
19.84,2846,66,36
22.46,2852,80,55
11,4778,34.2,41.4
13.7,4941,39.6,46.6
11.2,5047,60.3,63.8
11.08,5170,62.6,63.7
9.35,5361,63.4,68.6
9.54,5535,62,66
9.05,5525,73,74
15.9,1486,34.5,25.2
16.4,1480,31,37.6
15.6,1476,42.9,36.4
15.96,1456,58.2,36.2
17.6,1505,67,65.9
20.04,1511,49,56
15.51,1530,68,71
9.8,1608,42.2,29.7
9.7,1617,45.1,40
9.7,1628,55.6,45
8.51,1654,65.3,51.7
8.59,1644,68.1,69
7.11,1654,63,60
8.91,1684,81,56
18.8,2544,40.7,29.8
20.1,2593,44.5,44.8
18.5,2640,55,45.1
19.15,2643,57.9,57.2
17.92,2761,76.6,52.8
17.85,2751,76,60
20.45,2744,91,63
14.6,2284,29.5,34.9
14.7,2064,26.8,41.5
14.1,1992,50.5,38.9
20.37,1494,54.5,54.3
23.69,1582,52.1,61.1
21,1546,63,56
22.21,1557,76,61
16.5,899,25,35.7
16.7,894,43.7,35
13.8,898,37.5,41.9
15.26,895,66.7,61.8
16.53,889,72.7,64.8
14.5,894,53,39
16.41,904,84,76
14.9,730,32.2,49.1
12.4,760,50.8,39.2
12.5,745,37.3,57.4
13.61,762,56.3,55.6
8.61,762,71.9,67.6
9.78,787,57,67
9.61,791,78,62
31,1473,18.1,25
30.5,1416,48.2,34
30.8,1389,52.4,32.3
33.72,1446,54,41.1
33.52,1444,76.6,42.7
34.13,1452,61,42
37.02,1439,66,49
33.3,1456,35,29.2
36.2,1419,36.2,27.2
34.1,1342,45.6,41.3
37.57,1236,74.4,49.5
36.97,1192,65.8,58.9
36.08,1187,50,52
36.52,1142,70,75
0,3983,37,27.2
24.1,4065,52.3,39.6
23.6,4109,53,39.4
27.36,3996,66.9,49.2
26.19,3972,66.1,54.3
29.04,4076,67,50
29.33,3912,70,59
30.1,1909,28.8,41.2
32.1,1980,39.9,34.8
31.9,2031,48.1,41.3
35.73,2030,63.1,41.9
32.81,2132,62.7,61.5
28.63,2242,65,40
27.5,2318,64,58
30,1830,35.1,24.6
29.1,1827,38,37
26.4,1793,41.9,41.6
30.07,1779,61.1,52.8
28.81,1831,63.9,45.7
25.41,1853,45,53
31.74,1856,71,54
31.2,2433,26.6,31.6
33.6,2506,41.5,32.9
31.7,2448,57.6,37.2
33.28,2372,55.8,50.9
31.92,2366,60.5,55.8
37.04,2335,50,55
27.56,2323,69,57
34.5,723,30.4,19.2
35.8,757,43.2,52
36.5,744,49,50
42.21,730,61.7,36.2
37.2,758,56,45.3
37.22,751,73,67
40.31,767,87,68
48,596,23.8,14.6
48.4,590,37.5,21.6
47.8,555,25.6,22
48.64,550,38.5,43.2
51.66,608,55,45.9
49.65,584,56,40
50.88,576,82,40
46.4,693,30.2,25.9
47.5,678,23.9,22
44.1,677,42.6,24.4
43.01,648,44,34
41.6,660,69,32.7
34.64,658,44,26
34.09,651,75,43
32.4,2841,34.1,28.5
32.9,385,39.3,33.1
36,2846,39.7,32.8
40.95,488,56.1,37.2
39.99,2517,56.3,40.2
42.27,498,51,41
42.07,2580,70,56
64.9,7893,21.7,12.1
64.4,7817,28,15.7
66.1,7700,24.7,18
63.09,7240,45.7,24.7
65.37,7057,45.1,26.7
69.28,6953,50,32
67.51,7036,64,37
73,3088,13.6,2.7
78.7,3094,11.6,5.7
83.3,3065,9.9,5.7
84.35,2667,36.1,10
87.94,2592,28,16
89.17,2754,18,46
91.27,2477,50,68
9.9,3689,38.7,45.1
12,3707,45.8,49.3
10.3,3710,64.7,48.3
12.18,3704,69.9,54.3
11.67,3790,76.5,54.9
10.88,3816,66,53
11.19,3943,84,64
33.8,1870,33.1,24.6
37.6,1833,25.5,28
38.6,1908,44,35.1
34.86,1797,55,30.3
35.12,1851,59.7,36.7
33.44,1969,46,34
34.62,2034,72,52
19.3,3832,37.9,36.6
20.4,3830,32.9,40.1
21.3,3762,49.4,36.8
21.84,3403,61.1,41.8
21.69,3424,52.1,41.9
22.55,3440,52,41
24.39,3405,69,48
22.7,1600,29.3,26.9
26.4,1610,46.5,42.9
32.2,1607,45.9,49.3
27.06,1607,61.2,39.4
28.42,1625,81.9,43.8
29.14,1611,62,44
28.69,1555,86,68
38.6,2888,27.3,19.8
40.7,2968,34.5,22.6
42.5,2859,42.4,16.2
42.28,2439,73.4,41.8
37.6,2541,54.6,40.9
40.29,2615,47,33
40.87,2711,64,62
26.1,1181,30.4,25.7
29.6,1204,46.5,37.8
30.1,1187,21.3,23.6
27.86,1202,56.8,27.8
26.32,1264,57.5,42
25.85,1275,51,36
23.61,1303,70,51
21.6,4285,34.7,36.3
22.3,4306,45.8,44.2
24.4,4348,50.5,43.5
24.25,4332,59.7,48.5
24.88,4361,58.8,44.8
29.44,4490,55,55
28.34,4548,75,70
6.3,646,75,64
6.8,650,66,63
9.4,697,53.8,52.5
10.1,759,79.7,55.1
6.77,780,72.3,67.3
7.02,821,77,55
8.25,849,80,92
28.9,1946,50.4,28.5
27.7,2030,57.2,28.1
27.2,2089,45.3,45.3
26.07,2004,50.9,46.9
27.72,2037,72.1,57.1
25.98,2089,64,46
26.19,2097,91,52
21,2758,33.1,43.4
19.7,2754,25.6,44.7
19.8,2785,47.2,49.4
25.7,2545,46.3,63.1
27.02,2621,53.6,51.3
25.53,2662,51,73
25.29,2643,75,74
30.2,2030,40.4,23.6
38.3,2011,37.1,39.5
38.5,2108,55,39.7
36.7,2173,60.6,44.1
42.64,2229,51.3,55.3
40.3,2180,55,54
39.6,2463,78,53
27.6,1459,33.3,15.1
28.7,1543,38.6,18.3
35.1,1577,32.1,23.8
37.93,1132,58.6,48.1
35.15,1180,55.7,45
39.63,1228,33,38
40.98,1239,87,63
37.2,2703,36.7,38.5
37.3,2839,38.7,36.1
40.6,2870,48.4,30.6
39.97,1838,72.9,52.9
33.63,1934,68.8,57.3
36.01,2229,61,43
33.02,1993,73,55
46.7,1320,27,31.5
45.2,1468,26.5,18.6
49.9,1544,57.6,30.6
60.59,1558,57.6,31.3
63.99,1606,55.8,27.1
55.73,1598,57,40
55.69,1595,74,45
0,77,50,
0,73,60,
44.7,76,25,0
46.67,35,75,0
36.36,31,100,0
0,40,29,
0,38,33,
12.9,6473,47,39.8
14.8,474,52.6,43.4
15,6476,61.4,51.8
15.53,541,73.7,62.6
16.3,5635,76.2,69.5
16.52,5604,72,65
15.66,561,82,72
2,7327,64.8,62.4
1.9,7311,65.8,69
2.5,7276,80.6,78.8
2.04,7400,86.5,82.6
2.69,7497,82.6,83.2
2.39,7514,83,88
2.43,7559,95,89
32.2,9539,38,32.1
38.1,9105,33.4,35
39.9,7997,59.3,33.1
39.95,4607,62.9,56.5
37.97,4498,76.5,64.3
34.54,4850,60,50
34.32,4738,76,50
43.7,13647,21.9,10.8
47.9,13454,27.7,13.6
51.4,12969,27.6,11.6
61.98,12813,38.2,17
63.18,12649,43.8,29.7
66.91,12778,38,20
65.52,12771,49,26
11.9,7724,53.1,42.3
12.5,7653,58.7,45.1
12.2,7553,68.6,56.5
13.99,7586,80.2,65.3
11.36,7450,87.7,67
10.96,7322,80,65
9.68,7094,91,70
9.6,5242,46,51.7
10.8,5405,49.3,46.7
10.9,5200,68.4,65.2
10.81,4385,80.5,74.1
11.71,4296,79.1,67.6
11.28,4331,82,72
10.27,4322,84,82
16.1,8547,49.9,30.6
18,8780,52.6,31.8
20.2,8794,54.9,36.3
20.8,8882,65.2,43.1
26.75,9243,64.1,50.1
32.41,9432,63,39
31.67,9558,71,67
11,2893,49.5,31.3
10.7,3003,58.4,33.5
10.6,3101,62.7,46.4
11.34,3326,71.1,57.1
11.68,3506,74.6,67.4
10.41,3674,77,66
10.03,3718,93,80
1.6,5593,61.8,76.1
1.6,5549,68.4,70.4
1.6,5562,75.3,73.1
1.64,5761,87.8,84.6
1.83,5804,94.1,88.4
1.76,5867,84,81
1.6,5781,94,92
15.1,1700,36.5,30.7
17.3,1765,39.5,25
18.8,1714,70.4,36.5
21.98,1747,79.5,41.5
21.39,1765,76.1,55.8
22.74,1821,60,47
22.24,1874,74,56
1.8,4111,63,52.4
2.2,4249,63.8,52.6
2.6,4442,78.4,72.2
2.37,4664,83.4,65.2
2.21,4914,87.5,78
2.27,5102,89,78
2.36,5347,90,79
9.7,2692,37.7,39
11,2789,40.7,46.3
11.7,2896,54.6,51.9
12.2,3055,76.6,61.4
10.09,3099,73,71.2
10.68,3402,69,67
8.36,3514,85,72
36.5,8571,35.7,22.1
37.9,8187,43.6,28.8
38.1,7430,49,31.4
44.41,5317,73.2,38.9
48.63,5237,72.3,45
44.7,5283,66,48
45.29,5174,80,60
28.4,4056,30.8,17.8
28.8,3757,50.9,23.2
32.7,3327,47,29.4
31.65,2282,55.3,27.9
31.45,2312,60.4,48.6
36.61,2278,61,44
37.7,2240,70,53
1.9,11205,63.9,60
2.3,11355,63.2,59.3
2.5,11488,80.1,73.2
3.01,11735,87.4,78.3
3.24,11994,91.7,84.4
3.22,12072,90,79
3.02,12047,97,87
3.3,4936,67.6,62.2
4.2,5095,63,63.4
4.2,5255,80.5,66.1
4.37,5377,86.1,79.2
3.92,5590,88.7,80.5
5.29,5728,89,79
5.83,6004,91,77
5.9,4150,52.3,32.6
5.5,4156,61.5,37.5
7.8,4124,62.3,35.7
8.96,3081,79.5,59
8.17,3173,81.5,68.6
7.96,3202,72,55
7.46,3280,96,68
5.5,5574,54.8,48.4
5.5,5785,50.4,49.3
6.4,5859,56.1,60.5
6.62,6119,75.8,64.7
6.25,6536,83.1,73.2
5.86,6726,79,72
5.03,6839,92,79
4.8,10550,56.4,49.8
5.6,10695,63.8,56.6
5.4,10961,71.2,66.1
5.4,11531,75.9,63.5
5.6,11660,82.8,77.4
5.26,11823,78,67
5.47,11785,85,76
14.4,4133,48.3,28.6
16.3,4192,53.3,42.3
16.6,4163,53.1,40.4
16.36,4152,68.8,52.8
17.55,4136,68.3,56.3
18.12,4207,60,60
16.32,4313,76,64
8.4,10553,43.3,53.3
10.4,10571,47.2,53.5
10,10622,63,62.5
9.77,9978,76.6,72.4
9.84,10276,72.6,72.9
9.72,10628,66,68
10.89,10790,76,75
7.1,4712,53.1,39.9
8.3,4725,57.5,51
8.5,4838,71.3,59.9
8.36,5105,82.2,63.4
7.07,5343,78.6,70.8
6.72,5732,75,70
6.69,6089,91,74
9.5,4416,33.1,26.2
10.8,4528,55.1,38
10.5,4520,58.1,54.6
10.53,4674,68.4,49.4
11.55,5001,80.6,79.2
10.93,5221,71,69
10.41,5463,80,73
31.6,3129,15.4,13.7
35.4,3334,17.5,15.2
36.4,3381,26.1,15.2
35.26,3379,41.9,69.9
38.53,3394,54.9,67.4
43.03,3447,62,78
40.31,3615,64,59
3.3,11720,56.3,55.9
3.6,11983,60.8,62.8
4,11987,68.1,64.1
4.46,12217,82.1,77.8
3.68,12533,83.5,78.1
3.52,12733,83,74
3.39,12883,91,83
8.4,1903,29.6,33.1
10.5,1837,50,44.2
12,1794,46.6,64.5
10.94,1765,58.3,65.6
10.77,1774,59.4,67.4
11.37,1754,63,58
8.66,1728,58,61
11.9,2144,65.3,32.1
15.4,2216,84.8,27
15.2,2285,72.7,58.8
17.19,2381,98,65.1
17.44,2436,90.4,71.4
18.81,2489,88,57
20.71,2509,91,70
8,10025,50.1,44
9.1,10591,49.8,41.3
8.2,10996,64.9,54.3
8.8,11729,74.2,64.3
8.65,12229,75.8,74.4
8.07,12825,68,69
7.37,13136,79,72
16.3,10464,36.8,35.3
19.2,10662,43.2,52.4
19.9,10800,48.7,50.8
19.78,11038,69.2,62.6
20.98,11173,70.3,66.8
20.21,11448,66,64
18.6,11746,83,71
46.5,955,30.1,35.6
42.9,256,33.7,30.5
35.6,242,45.6,40.6
46.89,262,60.1,46.4
45.78,266,50.4,60.4
48.9,1265,58,56
47.35,251,70,72
42.7,1406,27.6,32.2
48.3,1448,33,30.7
48.8,1496,50.9,48.9
47.17,1553,56.7,46.2
45.59,1530,56.8,65.4
46.52,1552,54,53
47.48,1547,63,70
35.3,386,25,18.2
31.3,382,36.4,27.3
39.3,383,23.1,54.1
34.43,394,40,36
37.22,400,57.1,58.3
32.82,389,53,24
33.79,372,77,70
35.7,1610,37.5,40.9
35.5,1647,59.2,44.1
36.3,1606,50.5,40.2
41.33,1569,81.4,49.1
40.14,1835,56,65.6
44.58,1834,65,56
40.5,1823,80,75
55.8,540,27.8,31.6
65,523,20.7,11.8
54.6,452,65,35
66.41,380,26.3,42.1
69.68,411,15.2,22.6
76.4,409,52,80
77.89,410,67,67
39.1,2970,25.2,23.1
38.9,3094,39.6,33.5
39.8,2996,53.8,45.7
43.25,2854,52.9,47.2
39.15,2909,62.8,59.1
39.73,2952,52,55
40.92,2913,76,68
38.1,600,25,41.3
35,594,47.2,33.3
41.7,578,37.8,41.5
38.79,527,69.8,57.9
48.56,536,85.2,56.8
52.05,495,74,58
52.56,472,82,83
24.3,898,42.1,23.3
29,894,32.1,56.3
29.9,839,43.3,37.3
30.06,771,55.8,20.5
33.92,766,59.2,63.6
34.45,754,50,44
35.87,734,68,48
20.7,191,38.9,12.5
22,197,62.5,12.5
23.2,191,53.8,50
28.49,202,69.2,47.6
38.51,192,50,75
37.82,176,57,42
50,164,50,69
38.1,1452,38.6,41.2
40.6,1492,58,40.3
39.9,1442,42.3,34.8
41.36,1317,59.3,50
40.03,1391,63,62.3
37.5,1367,41,50
44.33,1333,76,39
53.5,785,26.9,23.3
49.9,852,38.1,22
54.1,834,50,33.8
42.09,829,51.8,52.8
46.55,842,49.1,60.7
56.79,881,54,61
52.84,842,65,54
45.2,1393,20.6,21.2
43.8,1462,36.6,17.1
46.5,1425,34.6,34.7
48.89,1398,41.8,38.7
48,1407,46.4,54.3
48.96,1380,43,47
46.66,1385,59,56
40.1,2037,48.1,33.5
40,2060,38.2,39.7
39.3,2136,36.5,36.9
38.46,2135,57.6,55
38.4,2203,47,46.9
39.34,2249,49,55
41.61,2290,75,59
53.2,866,41.4,27.6
51.7,865,59.6,27.3
53,888,52.7,20.3
56.64,919,52.2,28.2
57.89,910,61.8,45.2
56.16,926,66,43
55.07,945,76,50
0,450,34.4,48
0,464,57.4,70.4
0,486,75,57.1
41.55,500,64.1,57.5
36.33,484,54.5,54.4
36.8,489,51,52
41.42,472,51,53
19.8,2982,28.7,33.2
19.9,3044,28.6,48.5
20.8,3172,45.8,53.5
21.74,3284,58.8,53.5
24.1,3395,61.6,58.3
25.95,3450,44,51
28.19,3469,65,75
30.7,734,32.8,20
33.2,753,37.5,35.3
35.4,812,29.2,36.4
38.08,818,59.1,67.8
34.33,825,45.3,44.6
36.17,840,66,43
38.83,830,55,57
40.2,340,19.4,25.9
44.4,336,31.8,20.8
45.7,325,45.5,20
39.64,332,50,43.5
37.72,331,37.9,48.1
46.52,312,38,50
47.67,332,26,63
13.9,5666,36.4,37.3
14.8,5759,44.9,43.5
15.7,5883,46.9,54.9
15.06,5936,59.6,57.8
15.69,5990,60.5,69.9
16.05,5919,63,61
15.88,6063,81,75
27.8,5405,38.8,32.8
29.8,5497,44.7,35.4
31.3,5588,42.4,38.8
32.77,5733,55.5,49.5
32.95,5800,48.2,52.3
39.51,5734,64,53
44.87,5676,70,66
18.5,1492,42.7,39.1
16.9,1607,51.9,49.4
15.2,1594,58.5,44.1
15.83,1358,74.1,71.1
15.76,1408,64.8,75
16.05,1520,76,70
19.97,1545,86,83
13.1,5116,34.6,36.1
18.3,5344,48.6,40.9
13.2,5610,62.1,44.5
15.14,5920,67.9,55
12.06,6248,81.1,69.1
17.63,6554,82,70
15.97,6825,88,74
21.7,2648,45.6,43.3
20.1,2630,42.5,33.3
21.5,2679,74.1,59.4
22.24,2304,83.2,62.8
20.3,2362,93.5,66.5
16.66,2308,87,77
17.73,2362,92,78
5.5,4930,55.1,50.9
5.6,4911,59.9,61.5
6.1,5349,68.1,49.7
6.58,4712,79.4,64.1
5.73,4731,88.8,76.9
5.43,4818,85,77
6.76,4827,91,92
10,1756,47.4,45.1
11.2,1767,56.5,49.2
11.1,1847,68.8,57.9
14.72,1893,63.2,60
15.58,1938,68.9,52.8
12.47,1978,72,55
15.6,2045,88,73
9,3263,32.1,39.7
10.1,3408,43.8,41.5
8.8,3575,44.1,49.3
10.4,3722,59.1,50.6
0,3826,62.6,60.7
10.06,4039,58,51
10.14,4236,79,70
35.5,1029,25,36
40.2,1036,34.6,26
40.7,1025,37.8,33.8
48.27,977,46.3,26.4
46.38,1009,33.3,32
45.15,1002,32,42
41.86,957,42,51
41,380,40,5.9
45.7,394,42.9,32.1
40.6,369,61.9,58.3
43.47,375,70,66.7
41.19,367,26.1,55.2
43.05,376,50,80
38.7,387,41,79
15.6,892,52.5,55.1
22,959,62.7,41.5
23.4,962,58.6,51.3
25.94,905,74.5,66.7
21.99,911,73.7,68.1
20.45,891,64,54
24.27,859,87,55
35,1713,28.2,33.3
35.8,1732,42.9,39.9
36.3,1747,50.5,38.2
45.09,1759,49.6,41.6
43.59,510,53.6,56.1
43.78,1833,50,52
44.6,491,66,58
37.2,1808,17.4,23.1
40.6,1828,29.7,28
41.2,1869,43.9,20.5
41.5,1918,50,28.1
44.31,1983,53.8,33.3
40.74,2030,51,44
40.85,1989,61,58
41.3,1990,23,18
44.1,2005,39,15
45.3,2074,39.5,28.8
47.99,2134,47.6,34.6
45.82,2241,51.3,58.2
47.56,2265,38,53
49.29,2341,62,60
47.3,15863,25.2,18.3
51.6,14733,25.7,15.8
53.3,14414,32.1,17.1
57.41,13550,48.8,24
59.99,13452,46.3,27.4
60.63,13226,50,29
63.37,12850,71,39
28.4,1551,18.4,20
30.4,1480,26.1,35.9
34.5,1446,32.1,25.3
32.25,1184,41.3,27.2
26.17,1162,39.6,34.7
32.2,1272,39,33
34.39,1388,58,33
7.7,4703,54.7,46.5
9.9,4776,64.7,50.9
11.1,4820,64.5,54
10.57,4757,72.6,52.3
10.98,4860,70.3,67.3
11.26,4722,66,61
12.34,4764,83,61
57.1,1653,11.9,2.8
56.8,1658,16.2,4.5
73.8,1734,20.3,8.4
63.79,1704,21.2,27.5
63.96,1663,18.9,5.6
64.74,1677,15,13
68.52,1648,43,25
24.3,2545,36.4,33.1
26.6,2528,36.3,38
29.5,2443,57.3,52.4
28.26,2287,64.2,68.7
31.45,2256,73.5,70.4
30.35,2262,59,69
30.23,2230,91,76
12.1,1853,45.8,39.7
13.1,1860,54.2,40
15.6,1896,60.7,54.8
18.59,1889,62.7,52.9
18.54,1946,70.3,58.1
21.68,1985,55,49
22.39,2030,66,54
23.6,3089,32.6,19
31.2,3088,51.9,29.4
34.4,2798,49.7,30.7
43.92,2493,59.5,36
41.96,2506,58.1,40.1
44.25,2501,50,31
44.41,2629,77,38
5.5,1097,77.4,76.6
5.1,1116,64,76.4
5.1,1103,74.6,71.4
5.93,1150,89.2,82.2
5.84,1170,69.1,62.9
5.83,1198,82,73
4.03,1208,91,82
8.9,1273,46.8,38.1
8.5,1278,49.4,37.1
11,1264,54.4,53.5
8.54,1300,69.3,56.2
8.97,1362,62.1,61.9
9.54,1417,60,64
10.08,1479,88,74
15.9,1502,38.4,27.8
17.3,1491,48.4,41.5
16.6,1511,47.4,40.5
15.79,1491,70.4,63.4
14.6,1514,66.7,74.5
20,1543,60,57
16.13,1522,95,75
22.5,1090,21.4,23
27.1,1033,44.6,26.4
23.5,1018,47,44.6
25.02,1028,64.4,52.2
26.59,1061,55.7,53.2
26.7,1030,71,33
24.23,1009,65,61
20.7,1284,53.4,33.3
20.2,1286,52.2,45.9
26.4,1279,54.4,52.7
22.66,1251,74,66.7
25.08,1266,58.4,67.4
23.51,1323,59,70
21.4,1302,81,88
12.4,1672,45.4,33.6
14.3,1663,47.9,42.1
13.1,1666,67.4,48.4
15.12,1632,74.4,58.5
13.24,1638,78,58.8
15.32,1647,76,58
13.29,1666,87,75
17.7,4029,37.3,30.2
22,473,42.7,37
18.5,3958,52.5,50.9
26.72,486,61.9,50.9
25.02,3880,57.6,60.9
22.94,496,53,54
23.09,498,71,66
29.5,13699,34.8,24.5
29.8,13932,44.8,32.9
31.2,13418,46.9,45.9
37.6,12331,61.7,50.9
36.62,12308,57.5,57.1
34.55,12274,53,48
34.27,12255,67,58
16,3082,35.3,16.3
16,2553,36.2,30.2
16.3,2550,60.4,54.3
20.49,2577,68.1,45.6
19.96,2544,74.7,61.6
18.24,2592,69,50
19.2,2609,72,77
18,1568,34.2,26.5
19.2,1564,42.6,42.2
20.5,1586,44.9,37.8
20.8,1608,62.7,42.6
19.12,1699,48.8,49.2
16.98,1716,35,47
15.34,1738,80,55
12.6,4754,34.3,38.6
13.7,4913,54.2,31.8
12.4,4974,49.9,47.1
13.8,5084,59,44.1
11.92,5195,59,66.5
10.1,5253,58,56
9.42,5403,77,72
7.7,2266,39.7,32.4
6.2,2317,45.1,63.8
8.3,2350,48.5,59.3
8.53,2392,68.3,54.4
8.48,2485,53.1,70.4
8.82,2569,46,73
8.81,2599,76,74
17.3,929,40,31.7
15.9,899,34.9,18.2
17.1,927,54.8,58.2
15.99,950,53.6,50
9.41,977,40.8,47.6
11.31,1006,41,42
11.78,1003,70,67
23,1906,42.7,41.2
23.1,1943,41,39.6
23.7,1900,61.9,53.6
30.48,1894,56.9,83.9
22.27,1952,52.3,75.9
21.5,1978,57,80
25.42,1995,66,83
23.2,3057,39.6,33.2
25.8,3098,34,29.9
23.9,3084,60.2,39.6
27.78,3046,67.2,37.7
27.98,3022,56.8,54.4
30.32,3127,67,50
32.49,3112,72,61
23.3,304,7.1,30.8
23.9,297,13.6,
25.2,331,45.5,25
26.53,322,34.8,17.4
